Date,T2M,WS2M,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,Dwn_Rad,Erate,Evol
Jan-1985,21.05,2.88,28.29,14,6.68,0.29,22.14,4.756807,449.445
Feb-1985,21.31,3.56,28.09,15.27,7.88,0.16,23.01,5.072299,432.34
Mar-1985,23.05,3.46,29.22,15.99,7.97,0.16,23.93,4.8525453,457.375
Apr-1985,21.9,2.76,28.28,16.88,5.65,0.21,24.9,4.670804,425.628
May-1985,21.49,3.14,27.83,17.12,7.11,0.23,21.93,4.581093,430.802
Jun-1985,20.94,3.43,27.82,16.69,6.77,0.11,23.07,4.2091727,383.357
Jul-1985,18.98,2.84,22.9,16.01,6.59,0.22,20.85,3.5953903,338.504
Aug-1985,18.83,2.85,23.01,15.98,5.49,0.21,21.05,3.2713954,309.588
Sep-1985,19.96,2.62,23.8,16.01,5.49,0.11,22.6,3.560866,326.231
Oct-1985,19.55,3.09,23.9,13.87,7.52,0.13,22.79,4.7064214,445.306
Nov-1985,19.73,2.54,24.52,14.19,4.34,0.26,21.43,4.694279,429.559
Dec-1985,19.69,2.56,25.8,13.62,5.2,0.17,20.02,4.6497765,439.54
Jan-1986,20.21,2.92,26.44,13.69,5.82,0.27,21.8,4.8495827,458.167
Feb-1986,21.79,2.86,27.86,16.01,6.56,0.19,22.5,4.7797885,407.334
Mar-1986,23.3,2.88,30.36,16.65,7.34,0.09,24.32,5.074789,478.196
Apr-1986,22.01,3.01,27.94,16.39,7.58,0.08,26.06,5.334603,485.954
May-1986,23.47,3.2,29.94,18.25,6.74,0.13,25.34,5.6235394,528.607
Jun-1986,20.7,3.15,29.33,16.59,6.92,0.14,20.96,4.2244744,384.608
Jul-1986,18.9,2.91,23.58,15.37,6.95,0.05,19.69,3.6866658,346.978
Aug-1986,18.83,2.66,23.3,15.26,5.87,0.12,19.62,3.491792,330.451
Sep-1986,19.91,2.59,24.03,15.94,4.73,0.34,20.64,3.8219814,350.168
Oct-1986,19.34,2.95,23.89,13.52,5.79,0.25,21.64,4.87459,461.218
Nov-1986,20.04,2.69,25.65,14.08,5.42,0.12,21.68,5.137448,470.092
Dec-1986,19.64,2.84,26.12,13.47,6.02,0.06,20.32,4.9850326,471.202
Jan-1987,20.51,2.87,26.63,14.09,6.29,0.1,21.4,4.844503,456.886
Feb-1987,22.33,2.75,28.18,13.51,6.47,0.23,22.88,4.7778926,406.603
Mar-1987,21.43,2.65,27.02,16.04,6.09,0.15,24.39,4.811479,452.905
Apr-1987,22.4,2.81,28.46,16.63,6.4,0.13,23.02,5.1679482,470.407
May-1987,21.33,3.02,28.51,15.62,6.62,0.34,18.77,4.48282,421.212
Jun-1987,20.83,3.02,25.38,17.39,5.28,0.25,22.2,4.2331905,385.161
Jul-1987,20.14,2.98,24.16,16.65,7.05,0.3,21.71,3.8591983,362.949
Aug-1987,19.4,2.61,23.46,16.24,5.78,0.2,19.45,3.7583513,354.894
Sep-1987,20.96,2.77,24.65,16.74,5.12,0.34,22.2,4.0047536,366.067
Oct-1987,20.63,2.83,24.78,15.76,5.35,0.27,21.78,4.8106875,454.195
Nov-1987,20.06,2.77,25.55,12.81,5.19,0.13,21.59,5.0777855,463.719
Dec-1987,20.49,2.76,26.2,14.65,6.97,0.14,20.55,4.953856,467.373
Jan-1988,21.57,2.95,28,15.52,6.75,0.3,21.08,4.711702,444.455
Feb-1988,21.26,2.77,27.65,16.3,6.33,0.18,22.32,4.7451587,418.314
Mar-1988,23.86,3.34,30.33,17.4,7.62,0.27,24.98,5.3117595,500.07
Apr-1988,24.6,3.27,30.98,17.98,7.12,0.15,27.1,5.7431483,522.827
May-1988,24.21,3.53,30.37,18.4,7.24,0.13,23.7,4.991228,469.023
Jun-1988,21.27,3.17,28.02,17.22,6.95,0.13,23.03,4.3503723,395.865
Jul-1988,18.4,3.22,23.52,15.07,7.48,0.23,17.65,3.8914435,366.024
Aug-1988,18.85,2.66,22.81,15.54,6.34,0.16,19.44,3.2281525,304.905
Sep-1988,19.93,2.53,23.76,16.56,5.2,0.38,19.49,3.4628859,316.619
Oct-1988,19.63,2.7,23.97,14.16,5.75,0.29,20.65,4.5604415,430.675
Nov-1988,19.23,2.41,24.46,13.52,5.07,0.12,22.41,5.186112,473.721
Dec-1988,19.3,2.8,26.1,11.92,6.77,0.17,20.4,5.062105,477.692
Jan-1989,19.44,3.25,26.65,13.51,6.85,0.28,21.61,4.901508,462.457
Feb-1989,21.05,3.11,28.08,14.5,7.2,0.07,22.2,4.677002,398.159
Mar-1989,21.55,3.02,28.66,15.07,7.35,0.05,22.94,4.770048,449.137
Apr-1989,21.97,2.65,28.73,16.9,5.73,0.05,24.99,4.979193,453.335
May-1989,22.94,3.41,29.45,17.58,7.44,0.28,23.96,4.728453,444.368
Jun-1989,21.58,3.45,29.62,17.28,7.48,0.37,21.95,4.404756,400.856
Jul-1989,19.06,2.83,23.78,15.78,6.48,0.09,21.05,3.9183738,368.6
Aug-1989,19,2.41,22.83,15.98,5.87,0.16,20.98,3.4903452,329.753
Sep-1989,20.58,2.27,24.39,16.87,4.55,0.14,22.11,3.7738593,345.143
Oct-1989,19.95,2.59,23.94,15.01,4.9,0.18,22.5,4.6339,437.721
Nov-1989,20.14,2.58,25.42,14,5.2,0.12,22.33,5.037659,460.267
Dec-1989,19.84,2.63,25.01,15.3,5.32,0.3,19.59,4.4979725,424.552
Jan-1990,20.55,2.54,25.36,14.27,6.29,0.29,20.02,4.6757216,441.247
Feb-1990,20.01,2.84,26.7,14.94,6.52,0.25,21.59,4.6392155,395.013
Mar-1990,22.74,3.09,28.37,15.78,6.89,0.13,23.64,4.9142203,462.78
Apr-1990,23.69,3.27,30.38,17.54,7.12,0.06,25.31,5.3969026,491.425
May-1990,24.4,3.55,30.21,18.39,7.4,0.48,24.62,5.3212123,500.117
Jun-1990,21.97,3.32,29.03,17.09,7.39,0.09,22.2,4.4985414,409.435
Jul-1990,18.94,2.64,25.04,15.31,6.88,0.07,20,3.8949203,366.437
Aug-1990,19.55,2.62,23.32,15.53,5.71,0.22,21.27,3.6761672,347.397
Sep-1990,20.46,2.34,23.83,16.38,4.08,0.17,22.24,3.966481,362.855
Oct-1990,20.17,3.03,24.84,13.58,6.45,0.38,23.38,5.148887,486.487
Nov-1990,20.66,2.23,26.75,14.49,5.24,0.15,21.81,5.181738,473.54
Dec-1990,20.69,2.45,27.21,13.44,6.04,0.17,21.43,5.2014613,491.062
Jan-1991,21.44,3.12,28.23,15.29,7.84,0.16,20.7,4.8338,456.261
Feb-1991,22.09,3.06,28.41,15.6,7.67,0.14,23.45,5.0540714,430.413
Mar-1991,22.55,2.86,28.46,16.78,7.12,0.15,24.1,5.1373096,483.859
Apr-1991,23.96,3.78,29.62,17.94,9.12,0.06,24.05,5.392678,491.1
May-1991,24.08,4.21,30.2,18.4,7.67,0.34,23.5,5.546037,521.292
Jun-1991,22.02,3.23,30.54,17.4,7.82,0.02,23.03,4.454181,405.441
Jul-1991,18.65,2.84,22.73,15.94,6.29,0.08,20.81,3.7405758,351.957
Aug-1991,19.26,2.63,23.03,15.33,5.74,0.19,21.46,3.4032834,321.691
Sep-1991,20.66,2.42,24.26,16.87,4.62,0.18,22.9,3.930301,359.639
Oct-1991,19.72,2.77,24.31,14.65,5.64,0.3,22.5,4.9918704,471.768
Nov-1991,20.27,2,24.48,14.12,4.84,0.12,22.03,5.1025844,466.415
Dec-1991,19.99,2.54,26.05,13.54,6.27,0.07,20.38,4.817538,454.918
Jan-1992,20.12,2.8,26.05,12.87,6.48,0.08,20.87,4.428416,418.086
Feb-1992,20.93,3.11,27.28,14.38,8.16,0.06,22.61,4.6461577,409.879
Mar-1992,23.49,2.93,29.97,16.2,7.46,0.09,24.35,4.4747314,421.516
Apr-1992,23.79,2.98,30.06,17.86,6.99,0.14,24.18,5.092076,463.781
May-1992,23.23,3.24,28.62,18.37,6.43,0.16,22.97,5.1343913,482.641
Jun-1992,21.08,3.22,27.65,16.59,6.23,0.08,22.41,4.7041144,428.236
Jul-1992,18.79,2.95,24.49,15.45,5.88,0.12,20.87,4.0443697,380.586
Aug-1992,17.95,2.87,22.54,15.19,6.21,0.27,19.13,3.5712783,337.656
Sep-1992,19.77,2.37,23.5,16.32,4.95,0.16,22.33,3.7681048,344.888
Oct-1992,19.7,2.35,23.41,14.19,5.32,0.13,19.53,4.3821373,414.247
Nov-1992,19.35,2.44,24.64,13.01,5.44,0.29,19.66,4.6478457,424.946
Dec-1992,20.08,2.71,26.4,14.83,5.87,0.16,20.38,4.477682,422.92
Jan-1993,20.14,2.91,26.85,13.9,6.81,0.18,21.43,4.455951,420.774
Feb-1993,20.98,3.07,28.33,12.49,7.41,0.27,21.78,4.7151217,401.691
Mar-1993,22.76,3.24,29.41,15.83,8.36,0.05,23.41,4.9442954,465.817
Apr-1993,22.15,2.83,28.26,17.03,6.51,0.08,22.54,4.774297,434.89
May-1993,22.3,2.88,30.34,18.05,5.8,0.21,22.94,4.7066665,442.472
Jun-1993,20.77,3.09,26.3,16.62,5.7,0.62,22.09,4.4467397,404.849
Jul-1993,18.82,2.91,23.34,15.11,7.12,0.16,20.29,3.9093416,367.923
Aug-1993,19.73,2.34,23.68,16.62,6.11,0.14,22.56,3.6341074,343.683
Sep-1993,20.23,2.23,23.93,16.8,4.6,0.1,21.87,4.1032696,375.664
Oct-1993,19.98,2.54,24.1,15.2,6.72,0.02,20.91,4.85027,458.613
Nov-1993,20.05,2.47,25.74,14.89,4.76,0.29,21.76,5.085796,465.095
Dec-1993,20.12,2.49,26.44,13.15,5.59,0.12,20.98,5.226208,493.729
Jan-1994,21.19,2.57,27.89,12.24,6.43,0.12,21.72,4.8111916,454.415
Feb-1994,22.43,3.09,28.77,16.13,7.1,0.25,22.34,4.8664665,414.658
Mar-1994,22.82,3.03,28.44,16.83,7.28,0.16,25.46,5.3331156,502.522
Apr-1994,24.3,2.81,30.65,19.23,7.61,0.02,24.45,5.2000346,473.728
May-1994,23.21,3.26,29.09,18.11,7.59,0.19,24.44,4.914974,462.095
Jun-1994,20.61,3.17,25.89,16.22,8.04,0.04,22.46,4.5939493,418.296
Jul-1994,18.19,3.23,22.84,15.67,6.16,0.13,20.29,3.6538603,343.918
Aug-1994,18.47,2.68,21.99,15.21,7.29,0.34,19.93,3.362613,318.088
Sep-1994,19.59,2.45,23.51,15.16,4.88,0.09,23.62,3.9557142,362.25
Oct-1994,19.65,3.18,23.94,14.26,5.8,0.88,23.76,5.2417083,495.748
Nov-1994,20.27,2.78,25.55,14.48,5.38,0.05,21.62,5.0283017,459.943
Dec-1994,20.2,2.84,26.73,13.13,6.31,0.25,20.86,5.0733075,479.391
Jan-1995,21.12,2.81,27.96,13.84,5.58,0.25,21.85,5.061436,480.447
Feb-1995,21.39,2.85,28.29,15.98,7.97,0.23,22.02,4.860607,415.684
Mar-1995,22.81,3.16,29.82,15.8,7.32,0.23,24.12,5.173883,488.683
Apr-1995,23.52,2.59,29.61,18.4,6.31,0.19,23.42,5.2393665,477.948
May-1995,22.89,2.95,28.64,18.26,5.65,0.18,23.07,4.9089932,461.494
Jun-1995,22.27,3.21,28.3,17.84,6.95,0.15,22.24,4.709484,429.142
Jul-1995,18.23,3.1,23.48,14.83,7.05,0.05,19.37,3.8357744,361.468
Aug-1995,18.84,2.59,23.47,15.92,6.07,0.09,19.6,3.3143559,315.631
Sep-1995,20.34,2.52,24.12,16.48,5.13,0.19,22.81,3.7577791,346.573
Oct-1995,20.49,3.05,25.44,13.97,7.09,0.02,23.36,4.9486265,471.079
Nov-1995,20.26,2.59,25.58,15.05,5.38,0.23,21.81,5.1596823,474.717
Dec-1995,20.23,2.56,25.99,15.65,5.58,0.22,19.25,4.4782853,425.503
Jan-1996,20.01,2.72,26.13,14.48,5.95,0.24,21.08,4.7923217,455.244
Feb-1996,22.79,3.06,28.76,17.02,7.18,0.21,23.01,4.9924684,442.495
Mar-1996,23.01,2.96,29.65,17.05,7.38,0.11,22.88,4.7195554,446.013
Apr-1996,22.8,2.41,28.05,16.52,7.01,0.03,23.67,4.8896213,446.248
May-1996,21.42,3.04,28.25,15.81,6.98,0.05,20.84,4.5587416,428.715
Jun-1996,20.32,3.16,26.98,16.83,6.31,0.1,21.04,4.2341714,385.989
Jul-1996,18.96,3.07,24.58,15.87,7.16,0.19,20.2,3.6138284,340.705
Aug-1996,19.1,2.71,24.22,15.78,6.95,0.23,20.43,3.3353403,317.911
Sep-1996,20.37,2.59,24.4,16.36,4.51,0.27,22.61,3.6053982,332.825
Oct-1996,19.9,2.73,24.35,14.83,6.37,0.09,23.21,4.847846,461.887
Nov-1996,19.29,2.64,24.72,13.05,4.98,0.16,19.39,4.9656916,457.242
Dec-1996,19.51,2.39,23.98,15.03,4.79,0.14,20.11,4.534324,431.169
Jan-1997,20.12,2.8,25.65,13.65,6.42,0.33,21.04,4.500137,427.809
Feb-1997,22.02,3.33,28.62,15.05,8.34,0.33,23.27,5.2463126,449.25
Mar-1997,22.6,2.87,28.88,17.12,8.19,0.12,23.49,4.9821625,471.086
Apr-1997,22.79,3.13,28.9,17.35,6.68,0.23,23.95,4.931065,450.237
May-1997,21.98,3.12,29.38,17.65,6.91,0.12,22.16,4.5201745,425.235
Jun-1997,21.16,2.79,27.48,17.29,5.7,0.05,20.83,4.183958,381.57
Jul-1997,19.45,2.56,24.61,16.37,6.65,0.12,21.16,3.6690757,346.068
Aug-1997,19.61,2.58,24.12,16.42,5.2,0.15,22.17,3.5071743,334.586
Sep-1997,21.37,2.45,25.15,17.73,5.61,0.05,23.57,4.0153956,371.013
Oct-1997,19.9,2.91,24.81,15.51,7.08,0.38,20.56,4.5072646,429.812
Nov-1997,19.91,2.66,24.18,15.67,5.08,0.2,20.79,4.443565,409.499
Dec-1997,20.41,2.7,25.8,15.29,5.15,0.12,20.89,4.809569,457.704
Jan-1998,20.56,2.95,27.28,14.41,6.36,0.08,21.29,4.594362,437.095
Feb-1998,21.39,3.01,26.97,14.47,7.13,0.13,23.43,4.942409,423.5
Mar-1998,23.42,2.97,30.41,16.01,7.59,0.12,24.13,4.8147564,455.505
Apr-1998,25.73,3.23,31.94,20.14,6.95,0.2,25.4,5.419403,495.053
May-1998,23.84,2.77,30.34,19.23,6.95,0.05,24.89,4.7952013,451.265
Jun-1998,21.4,2.99,28.75,17.72,6.47,0.15,21.83,4.7453437,432.946
Jul-1998,18.1,3.4,23.25,15.57,6.84,0.39,16.63,3.885133,366.611
Aug-1998,18.12,3.4,21.99,14.96,8.58,0.05,17.39,3.133073,299.161
Sep-1998,19.95,2.48,24.05,16.16,6.48,0.09,23.03,3.2971516,304.928
Oct-1998,19.95,2.53,23.94,15.19,5.32,0.2,22.38,4.1336007,394.522
Nov-1998,19.64,2.46,24.82,13.7,5.87,0.16,22.91,5.1301208,473.155
Dec-1998,19.73,2.3,25.59,13.37,5.15,0.11,21.72,5.1846347,493.787
Jan-1999,20.23,2.45,26.82,13.54,5.84,0.12,21.29,4.630047,440.149
Feb-1999,23.14,2.73,29.46,13.98,7.34,0.11,24.91,5.1815915,443.78
Mar-1999,23.14,3.42,30.69,14.89,7.93,0.12,27.04,5.778583,546.578
Apr-1999,24.07,3.03,29.94,17.03,7.28,0.15,25.09,5.4650345,499.236
May-1999,22.71,3.19,29.22,17.99,7.59,0.14,23.83,4.884722,459.846
Jun-1999,21.03,2.88,27.16,16.23,6.5,0.24,22.2,4.6141834,421.045
Jul-1999,17.51,2.86,21.99,14.69,6.14,0.18,18.7,3.7676632,355.548
Aug-1999,18.66,2.57,22.57,15.88,6.05,0.14,19.63,3.243284,309.331
Sep-1999,20.16,2.39,24.79,15.87,5.16,0.19,23.27,3.4867918,322.07
Oct-1999,19.27,2.27,23.53,15.06,7.28,0.05,21.16,4.0977263,390.668
Nov-1999,18.71,2.95,23.8,12.15,5.82,0.13,23.05,5.172543,476.613
Dec-1999,19.4,2.32,24.48,13.94,5.6,0.16,21.18,4.6061196,438.302
Jan-2000,20.55,2.75,26.92,14.02,6.55,0.23,22.3,4.960784,471.946
Feb-2000,22.4,3.08,28.51,15.22,7.72,0.14,24.23,4.9675226,440.909
Mar-2000,24.07,3.41,30.41,17.73,8.06,0.13,25.59,5.4814186,518.714
Apr-2000,22.8,3.52,29.1,15.33,8.62,0.12,21.52,5.23196,478.115
May-2000,23.75,3.28,30.66,18.62,7.55,0.2,23.49,4.763615,448.535
Jun-2000,21.36,3.43,28.24,16.65,7.44,0.08,21.92,4.4793954,408.866
Jul-2000,18.54,3.03,22.4,15.09,6.28,0.21,20.5,3.6841156,347.782
Aug-2000,18.43,3,24.19,14.98,7.61,0.09,19.71,3.3302624,317.924
Sep-2000,20.13,2.48,24.51,16.69,5.37,0.28,23.08,3.5601501,329.169
Oct-2000,20.29,2.32,24.74,16.07,5.27,0.06,20.35,4.3713427,417.136
Nov-2000,20.15,2.62,26.26,12.98,5.78,0.08,21.73,4.7631288,439.259
Dec-2000,19.99,2.56,25.26,14.79,5.38,0.01,20.76,4.587049,436.84
Jan-2001,20.1,2.91,27.12,14.05,7.24,0.09,21.97,4.767067,452.661
Feb-2001,22.46,2.88,29.77,15.69,7.02,0.09,22.17,4.8270555,413.101
Mar-2001,23.15,3.14,28.7,17.8,7.62,0.12,22.24,5.2142615,493.004
Apr-2001,24.07,3.35,31,16.58,8.52,0.08,24.64,5.2565837,480.145
May-2001,23.69,2.91,30.41,18.08,7.27,0.15,22,4.9694095,467.958
Jun-2001,20.87,3.02,28.32,16.58,6.69,0.06,18.88,4.4309754,404.352
Jul-2001,18.81,2.96,23.66,15.65,6.85,0.02,16.82,3.4030151,321.118
Aug-2001,18.53,3.18,23.29,14.95,7.55,0.12,17.26,3.178035,302.619
Sep-2001,20.71,2.41,24.79,16.55,5.74,0.07,21.79,3.5662453,328.843
Oct-2001,20.87,2.7,24.65,16.31,4.91,0.29,20.52,4.4393277,422.579
Nov-2001,19.9,2.85,25.61,12.58,7.55,0.16,21.66,5.20509,478.958
